match_id,home_team,home_team_id,away_team,away_team_id,home_team_wins,away_team_wins,winning_team_id,losing_team_id,game_1_id,game_1_map,game_1_gametype,game_1_lang,game_1_home_score,game_1_away_score,game_1_winning_team,game_1_losing_team,game_2_id,game_2_map,game_2_gametype,game_2_lang,game_2_home_score,game_2_away_score,game_2_winning_team,game_2_losing_team,game_3_id,game_3_map,game_3_gametype,game_3_lang,game_3_home_score,game_3_away_score,game_3_winning_team,game_3_losing_team,game_4_id,game_4_map,game_4_gametype,game_4_lang,game_4_home_score,game_4_away_score,game_4_winning_team,game_4_losing_team,game_5_id,game_5_map,game_5_gametype,game_5_lang,game_5_home_score,game_5_away_score,game_5_winning_team,game_5_losing_team
3627,Chicago Huntsmen,8,New York Subliners,13,3,2,8,13,0,Rammaza,Hardpoint,en-us,250,219,8,13,1,Rammaza,Search and Destroy,en-us,6,1,8,13,2,Hackney Yard,Domination,en-us,144,154,13,8,3,Hackney Yard,Hardpoint,en-us,192,250,13,8,4,Gun Runner,Search and Destroy,en-us,6,3,8,13
3623,Paris Legion,15,Los Angeles Guerrillas,11,3,0,15,11,0,Rammaza,Hardpoint,en-us,250,228,15,11,1,St. Petrograd,Search and Destroy,en-us,6,5,15,11,2,St. Petrograd,Domination,en-us,163,155,15,11,3,Hackney Yard,Hardpoint,en-us,0,0,0,0,4,Arklov Peak,Search and Destroy,en-us,0,0,0,0
3628,London Royal Ravens,10,Minnesota Røkkr,12,3,2,10,12,0,Azhir Cave,Hardpoint,en-us,250,216,10,12,1,Arklov Peak,Search and Destroy,en-us,6,3,10,12,2,Gun Runner,Domination,en-us,124,179,12,10,3,St. Petrograd,Hardpoint,en-us,194,250,12,10,4,Rammaza,Search and Destroy,en-us,6,4,10,12
3624,Atlanta FaZe,7,Paris Legion,15,3,0,7,15,0,Gun Runner,Hardpoint,en-us,250,174,7,15,1,St. Petrograd,Search and Destroy,en-us,6,3,7,15,2,Gun Runner,Domination,en-us,169,142,7,15,3,Hackney Yard,Hardpoint,en-us,0,0,0,0,4,Gun Runner,Search and Destroy,en-us,0,0,0,0
3629,New York Subliners,13,London Royal Ravens,10,3,1,13,10,0,Gun Runner,Hardpoint,en-us,215,250,10,13,1,St. Petrograd,Search and Destroy,en-us,6,5,13,10,2,Hackney Yard,Domination,en-us,181,142,13,10,3,Hackney Yard,Hardpoint,en-us,250,219,13,10,4,Gun Runner,Search and Destroy,en-us,0,0,0,0
3630,Chicago Huntsmen,8,Atlanta FaZe,7,3,0,8,7,0,Hackney Yard,Hardpoint,en-us,250,160,8,7,1,St. Petrograd,Search and Destroy,en-us,6,1,8,7,2,Hackney Yard,Domination,en-us,166,149,8,7,3,Rammaza,Hardpoint,en-us,0,0,0,0,4,Gun Runner,Search and Destroy,en-us,0,0,0,0
3631,Toronto Ultra,17,New York Subliners,13,0,3,13,17,0,Gun Runner,Hardpoint,en-us,247,250,13,17,1,Arklov Peak,Search and Destroy,en-us,2,6,13,17,2,Hackney Yard,Domination,en-us,147,158,13,17,3,Hackney Yard,Hardpoint,en-us,0,0,0,0,4,St. Petrograd,Search and Destroy,en-us,0,0,0,0
3632,Chicago Huntsmen,8,New York Subliners,13,0,3,13,8,0,Rammaza,Hardpoint,en-us,238,250,13,8,1,Rammaza,Search and Destroy,en-us,4,6,13,8,2,Hackney Yard,Domination,en-us,144,163,13,8,3,Hackney Yard,Hardpoint,en-us,0,0,0,0,4,St. Petrograd,Search and Destroy,en-us,0,0,0,0
3651,Paris Legion,15,Dallas Empire,6,1,3,6,15,0,Rammaza,Hardpoint,en-us,73,250,6,15,1,Gun Runner,Search and Destroy,en-us,6,3,15,6,2,Gun Runner,Domination,en-us,148,160,6,15,3,St. Petrograd,Hardpoint,en-us,206,250,6,15,4,Arklov Peak,Search and Destroy,en-us,0,0,0,0
3646,London Royal Ravens,10,Seattle Surge,16,3,1,10,16,0,Azhir Cave,Hardpoint,en-us,250,167,10,16,1,Arklov Peak,Search and Destroy,en-us,6,2,10,16,2,Hackney Yard,Domination,en-us,147,161,16,10,3,St. Petrograd,Hardpoint,en-us,250,77,10,16,4,Gun Runner,Search and Destroy,en-us,0,0,0,0
3652,New York Subliners,13,Los Angeles Guerrillas,11,3,0,13,11,0,Gun Runner,Hardpoint,en-us,250,126,13,11,1,St. Petrograd,Search and Destroy,en-us,6,4,13,11,2,Hackney Yard,Domination,en-us,167,131,13,11,3,Azhir Cave,Hardpoint,en-us,0,0,0,0,4,Gun Runner,Search and Destroy,en-us,0,0,0,0
